C_assignment,C_libsvm,primal_train_accuracy,primal_test_accuracy,dual_train_accuracy,dual_test_accuracy,libsvm_test_accuracy,primal_dual_w_l2,primal_dual_b_abs,custom_libsvm_w_l2,custom_libsvm_b_abs,custom_libsvm_alpha_l2,support_vectors_custom,support_vectors_libsvm,primal_objective,dual_objective,duality_gap,max_primal_violation,libsvm_backend
0.1,0.000234192037470726,0.8056206088992974,0.8169014084507042,0.8056206088992974,0.8169014084507042,0.8169014084507042,1.6604015283948123e-06,1.0802558892963887e-06,0.00010107353945851471,0.0005003741498317282,1.875911967405642e-05,307,307,0.057413220634753986,0.05741322049638239,1.383715989011769e-10,2.912297736301639e-09,libsvm-official
1.0,0.00234192037470726,0.9484777517564403,0.9507042253521126,0.9484777517564403,0.9507042253521126,0.9507042253521126,1.5314009230648693e-07,3.5069656401098825e-08,0.00011465761593527298,0.00010522478287700032,2.8213609441096502e-05,162,162,0.2813163842524654,0.2813163841267308,1.257345894067896e-10,2.0791801613739835e-10,libsvm-official
10.0,0.0234192037470726,0.9765807962529274,0.9647887323943662,0.9765807962529274,0.9647887323943662,0.9647887323943662,2.7959875134117355e-07,1.0470954650565467e-07,0.0007724455153051169,0.0004276828353686202,0.0013666251272175052,81,81,1.3587282511255008,1.3587282481075214,3.0179794219264977e-09,0.0,libsvm-official
